distance_km,weight_kg,priority_encoded,hour_of_day,day_of_week,traffic_factor,weather_score,driver_experience_days,is_rush_hour,zone_density,is_delayed,delay_minutes
38.67,9.2,0,9,3,1.28,0.22,188,1,0.75,1,37.4
4.73,14.1,1,7,3,0.69,0.56,172,0,0.57,0,0
5.06,9.5,2,16,2,0.84,0.22,739,0,0.42,0,0
16.28,1.9,0,9,0,1.25,0.14,366,1,0.86,0,0
15.98,13.4,0,9,0,1.84,0.3,180,1,0.76,1,18.1
9.61,13.2,1,10,1,1.2,0.06,360,1,0.81,0,0
5.03,14.7,2,8,5,1.18,0.56,171,1,0.86,0,0
3.93,1.4,1,16,5,0.4,0.57,180,0,0.86,0,0
17.49,3.6,0,13,6,0.82,0.57,185,0,0.68,0,0
26.62,14.4,2,16,3,0.93,0.6,190,0,0.86,1,40.4
20.14,7.1,0,13,0,0.59,0.28,22,0,0.56,1,29.3
20.19,2.0,0,4,4,0.95,0.57,736,0,0.48,0,0
3.93,11.8,0,8,6,1.95,0.25,358,1,0.35,0,0
20.95,13.7,0,12,6,0.7,0.59,369,0,0.86,0,0
26.62,9.9,1,19,4,1.08,0.77,360,1,0.91,1,16.1
9.17,12.7,0,4,6,0.64,0.73,370,0,0.24,0,0
5.03,7.5,1,17,1,1.74,0.71,728,1,0.29,0,0
10.31,9.8,1,17,2,1.57,0.37,37,1,0.98,1,27.8
14.33,10.8,0,19,5,1.81,0.25,721,1,0.96,1,33.6
9.61,2.7,0,19,2,1.46,0.8,33,1,0.34,1,29.3
12.87,1.2,1,19,4,1.78,0.52,87,1,0.77,1,17.1
18.11,9.6,0,11,2,0.97,0.87,363,0,0.42,0,0
24.41,3.6,1,15,5,1.09,0.25,355,0,0.45,1,11.1
28.39,11.1,2,9,5,1.41,0.96,357,1,0.53,1,21.9
25.34,12.3,1,15,4,0.68,0.69,22,0,0.91,1,51.4
5.56,10.2,1,21,2,0.93,0.3,184,0,0.91,0,0
14.33,3.6,1,14,6,0.61,0.16,359,0,0.82,0,0
31.39,14.3,1,16,1,0.62,0.23,97,0,0.38,1,49.1
5.77,11.4,2,14,3,0.99,0.91,181,0,0.15,0,0
23.33,5.0,0,23,4,0.62,0.23,368,0,0.5,1,40.3
14.33,10.2,0,15,6,0.59,0.63,726,0,0.11,0,0
17.54,0.6,2,11,4,0.76,0.12,86,0,0.79,1,10.0
25.63,2.6,0,21,5,0.93,0.51,361,0,0.86,1,22.2
23.79,3.5,2,3,0,0.61,0.7,734,0,0.38,1,24.4
5.03,7.0,0,8,0,0.97,0.18,170,1,0.45,1,38.8
26.62,2.7,1,18,4,1.68,0.83,23,1,0.61,1,60.4
17.07,7.0,1,10,1,1.35,0.2,22,1,0.5,1,23.0
20.19,5.4,1,10,5,1.24,0.43,737,1,0.28,1,27.2
10.31,13.2,0,18,6,1.37,0.18,173,1,0.51,1,32.3
3.84,7.7,1,11,4,0.78,0.55,177,0,0.49,0,0
12.87,12.9,0,18,1,1.94,0.8,727,1,0.11,1,33.4
38.67,13.3,1,17,6,1.84,0.99,185,1,0.81,1,70.6
19.8,1.1,0,15,0,0.7,0.02,189,0,0.86,0,0
6.13,5.6,0,10,2,1.4,0.8,98,1,0.6,1,33.1
13.75,14.1,0,9,2,1.11,0.73,96,1,0.61,1,28.3
13.22,1.0,1,16,2,0.96,0.96,730,0,0.55,0,0
24.41,14.1,1,20,1,1.15,0.07,736,1,0.42,1,20.0
12.83,4.5,2,10,1,0.99,0.69,88,1,0.4,1,22.2
8.43,7.0,1,19,0,1.4,0.38,175,1,0.63,1,50.6
7.3,11.0,0,9,6,1.11,0.29,188,1,0.15,1,13.9
25.63,0.6,2,18,4,1.18,0.88,173,1,0.3,1,4.7
9.22,11.2,1,14,0,0.69,0.37,722,0,0.5,0,0
15.28,14.3,2,14,5,0.67,0.63,731,0,0.84,0,0
19.04,9.2,1,19,6,1.23,0.59,171,1,0.93,1,44.7
21.31,11.2,0,17,4,1.17,0.44,375,1,0.44,1,20.0
33.07,1.4,2,17,5,1.45,0.27,92,1,0.93,1,66.2
19.8,4.3,2,8,4,1.54,0.87,94,1,0.47,1,52.6
13.35,4.6,1,15,1,0.78,0.57,28,0,0.34,1,4.2
28.53,6.8,1,15,0,0.74,0.95,179,0,0.98,1,15.6
20.5,9.2,0,11,5,0.81,0.2,728,0,0.53,1,39.3
26.62,1.9,0,16,3,0.92,0.27,185,0,0.11,1,43.0
7.51,12.5,1,19,6,1.29,0.43,367,1,1.0,0,0
11.82,2.9,1,0,5,0.47,0.51,369,0,0.68,0,0
12.66,8.9,0,10,6,1.39,0.6,170,1,0.51,1,14.7
3.56,3.7,0,6,5,0.71,0.49,372,0,0.4,0,0
13.22,10.5,0,8,5,1.49,0.97,32,1,0.82,1,19.8
31.39,10.9,1,7,4,0.61,0.59,30,0,0.14,1,19.9
20.95,14.9,1,14,0,1.01,0.14,366,0,0.69,0,0
6.45,1.7,0,8,5,1.68,0.27,185,1,0.49,0,0
21.31,9.8,0,20,6,1.38,0.85,721,1,0.68,1,48.2
36.1,12.2,2,12,5,0.54,0.68,171,0,0.67,1,57.4
13.75,13.5,1,10,0,1.3,0.55,364,1,0.68,1,31.8
3.46,1.4,0,8,5,1.46,0.91,368,1,1.0,0,0
10.31,9.6,1,13,3,0.92,0.49,86,0,0.69,0,0
38.67,8.6,2,12,6,0.61,0.65,372,0,0.71,1,43.4
6.73,2.9,2,19,2,1.01,0.89,98,1,0.69,0,0
14.39,0.8,0,17,6,1.59,0.74,185,1,0.45,1,31.9
21.08,8.3,1,3,2,0.91,0.11,359,0,0.77,1,21.5
13.75,11.7,1,9,6,1.69,0.53,31,1,0.35,1,23.2
20.5,1.5,1,6,4,1.04,0.09,727,0,0.46,0,0
14.18,3.9,0,5,2,0.8,0.28,97,0,0.72,1,30.5
25.63,8.7,2,8,2,1.39,0.62,721,1,0.39,1,52.9
15.04,5.9,1,12,5,0.86,0.93,94,0,0.68,1,22.7
20.5,13.7,1,6,4,0.65,0.25,29,0,0.24,1,32.3
6.45,8.7,1,19,2,1.36,0.38,95,1,0.96,0,0
38.67,2.4,1,14,0,0.77,0.34,736,0,0.56,1,55.6
12.56,2.8,0,12,3,0.69,0.93,32,0,0.74,1,18.8
16.05,6.9,1,12,5,0.66,0.71,40,0,0.18,1,37.4
18.52,3.3,1,9,2,1.56,0.17,97,1,0.51,1,32.3
28.39,7.8,1,9,6,2.23,0.68,170,1,0.71,1,54.9
3.46,8.4,1,17,4,1.29,0.52,371,1,0.61,0,0
15.28,1.4,1,15,1,0.75,0.33,368,0,0.6,0,0
17.07,7.2,1,19,4,1.27,0.34,733,1,0.83,0,0
6.73,4.5,2,11,6,1.09,0.94,735,0,0.15,0,0
13.52,11.5,1,18,4,1.26,0.45,371,1,0.93,0,0
8.8,12.7,2,8,4,1.04,0.46,721,1,0.31,0,0
6.73,9.2,1,8,1,1.96,0.06,726,1,0.2,0,0
18.11,12.5,0,14,0,0.95,0.66,34,0,0.22,1,51.2
20.95,3.9,2,20,6,1.74,0.84,170,1,0.9,1,39.4
5.77,3.6,2,11,5,0.91,0.68,727,0,0.2,0,0
7.8,1.7,1,18,4,1.76,0.06,173,1,0.18,0,0
